2026-07-29T07:39:38.673530+00:00 | TRADEWATCH | no open positions
2026-07-29T07:54:52.684313+00:00 | TRADEWATCH | no open positions
2026-07-29T07:59:52.667512+00:00 | TRADEWATCH | no open positions
2026-07-29T08:04:52.655077+00:00 | TRADEWATCH | no open positions
2026-07-29T08:05:14.929177+00:00 | TRADEWATCH | no open positions
2026-07-29T08:10:14.917035+00:00 | TRADEWATCH | no open positions
2026-07-29T08:15:14.905056+00:00 | TRADEWATCH | no open positions
2026-07-29T08:20:14.892529+00:00 | TRADEWATCH | no open positions
2026-07-29T08:25:14.883380+00:00 | TRADEWATCH | no open positions
2026-07-29T08:30:14.874581+00:00 | TRADEWATCH | no open positions
2026-07-29T08:35:14.885134+00:00 | TRADEWATCH | no open positions
2026-07-29T08:40:15.505149+00:00 | TRADEWATCH | no open positions
2026-07-29T08:45:15.500212+00:00 | TRADEWATCH | no open positions
2026-07-29T08:50:15.493950+00:00 | TRADEWATCH | no open positions
2026-07-29T08:55:15.488270+00:00 | TRADEWATCH | no open positions
2026-07-29T09:00:15.484561+00:00 | TRADEWATCH | no open positions
2026-07-29T09:05:15.480920+00:00 | TRADEWATCH | no open positions
2026-07-29T09:10:15.477409+00:00 | TRADEWATCH | no open positions
2026-07-29T09:15:15.475650+00:00 | TRADEWATCH | no open positions
2026-07-29T09:20:15.473256+00:00 | TRADEWATCH | no open positions
2026-07-29T09:21:56.441494+00:00 | TRADEWATCH | no open positions
2026-07-29T09:23:25.642523+00:00 | TRADEWATCH | no open positions
2026-07-29T09:27:52.601594+00:00 | TRADEWATCH | no open positions
2026-07-29T09:28:25.640555+00:00 | TRADEWATCH | no open positions
2026-07-29T09:32:52.600017+00:00 | TRADEWATCH | no open positions
2026-07-29T09:33:25.640079+00:00 | TRADEWATCH | no open positions
2026-07-29T09:37:53.190913+00:00 | TRADEWATCH | no open positions
2026-07-29T09:38:25.638543+00:00 | TRADEWATCH | no open positions
2026-07-29T09:42:53.782859+00:00 | TRADEWATCH | no open positions
2026-07-29T09:43:25.637376+00:00 | TRADEWATCH | no open positions
2026-07-29T09:47:53.781468+00:00 | TRADEWATCH | no open positions
2026-07-29T09:48:25.636080+00:00 | TRADEWATCH | no open positions
2026-07-29T09:52:53.780738+00:00 | TRADEWATCH | no open positions
2026-07-29T09:53:25.635430+00:00 | TRADEWATCH | no open positions
2026-07-29T09:57:53.780174+00:00 | TRADEWATCH | no open positions
2026-07-29T09:58:25.634747+00:00 | TRADEWATCH | no open positions
2026-07-29T10:02:53.779791+00:00 | TRADEWATCH | no open positions
2026-07-29T10:03:25.634035+00:00 | TRADEWATCH | no open positions
2026-07-29T10:07:53.779716+00:00 | TRADEWATCH | no open positions
2026-07-29T10:08:25.633919+00:00 | TRADEWATCH | no open positions
2026-07-29T10:12:53.779494+00:00 | TRADEWATCH | no open positions
2026-07-29T10:13:25.633735+00:00 | TRADEWATCH | no open positions
2026-07-29T10:17:53.779434+00:00 | TRADEWATCH | no open positions
2026-07-29T10:18:25.633690+00:00 | TRADEWATCH | no open positions
2026-07-29T10:22:53.779772+00:00 | TRADEWATCH | no open positions
2026-07-29T10:23:25.633797+00:00 | TRADEWATCH | no open positions
2026-07-29T10:27:53.780312+00:00 | TRADEWATCH | no open positions
2026-07-29T10:28:25.634045+00:00 | TRADEWATCH | no open positions
2026-07-29T10:32:53.780617+00:00 | TRADEWATCH | no open positions
2026-07-29T10:33:25.634535+00:00 | TRADEWATCH | no open positions
2026-07-29T10:37:53.780920+00:00 | TRADEWATCH | no open positions
2026-07-29T10:38:25.635059+00:00 | TRADEWATCH | no open positions
2026-07-29T10:42:53.782332+00:00 | TRADEWATCH | no open positions
2026-07-29T10:43:25.635434+00:00 | TRADEWATCH | no open positions
2026-07-29T10:47:53.783183+00:00 | TRADEWATCH | no open positions
2026-07-29T10:48:25.635897+00:00 | TRADEWATCH | no open positions
2026-07-29T10:52:53.862992+00:00 | TRADEWATCH | no open positions
2026-07-29T10:53:25.636740+00:00 | TRADEWATCH | no open positions
2026-07-29T10:57:53.864056+00:00 | TRADEWATCH | no open positions
2026-07-29T10:58:25.637934+00:00 | TRADEWATCH | no open positions
2026-07-29T11:02:32.720416+00:00 | TRADEWATCH | no open positions
2026-07-29T11:02:53.864735+00:00 | TRADEWATCH | no open positions
2026-07-29T11:03:25.638705+00:00 | TRADEWATCH | no open positions
2026-07-29T11:07:32.721641+00:00 | TRADEWATCH | no open positions
